"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"時系列名","産業分類","事業所規模","年","年平均","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"入職率","TL調査産業計","５人以上","2005.0","1.84","1.22","1.52","1.54","4.51","2.18","1.69","1.65","1.8","1.61","1.58","1.49","1.26"
"入職率","TL調査産業計","５人以上","2006.0","2.06","1.08","1.93","2.65","4.37","2.0","1.7","1.43","2.18","1.65","2.49","1.7","1.48"
"入職率","TL調査産業計","５人以上","2007.0","1.82","1.17","2.01","1.65","4.32","2.87","1.41","1.51","1.58","1.23","1.56","1.31","1.2"
"入職率","TL調査産業計","５人以上","2008.0","1.72","1.79","0.88","1.39","3.77","1.42","1.34","1.73","1.02","2.64","1.48","0.92","2.22"
"入職率","TL調査産業計","５人以上","2009.0","1.78","0.84","1.23","1.65","4.64","1.95","1.13","2.17","1.21","1.36","1.73","1.96","1.54"
"入職率","TL調査産業計","５人以上","2010.0","1.66","0.83","1.17","2.06","4.97","1.43","1.31","1.19","0.84","1.43","1.69","1.6","1.38"
"入職率","TL調査産業計","５人以上","2011.0","1.74","0.99","1.7","1.38","5.21","1.35","1.13","1.31","1.55","1.46","1.9","1.65","1.2"
"入職率","TL調査産業計","５人以上","2012.0","1.89","1.21","1.65","1.58","4.94","1.98","1.86","1.4","1.14","1.61","1.98","1.57","1.77"
"入職率","TL調査産業計","５人以上","2013.0","1.95","1.33","1.76","1.64","5.21","2.19","2.12","1.38","1.65","1.43","1.94","1.54","1.23"
"入職率","TL調査産業計","５人以上","2014.0","1.86","1.24","1.49","1.7","5.19","2.18","1.56","1.59","1.5","1.3","1.67","1.63","1.24"
"入職率","TL調査産業計","５人以上","2015.0","1.91","1.15","1.41","1.35","5.17","1.89","1.68","1.42","1.34","2.0","1.99","1.88","1.69"
"入職率（前年差）","TL調査産業計","５人以上","2006.0","0.22","-0.14","0.41","1.11","-0.14","-0.18","0.01","-0.22","0.38","0.04","0.91","0.21","0.22"
"入職率（前年差）","TL調査産業計","５人以上","2007.0","-0.24","0.09","0.08","-1.0","-0.05","0.87","-0.29","0.08","-0.6","-0.42","-0.93","-0.39","-0.28"
"入職率（前年差）","TL調査産業計","５人以上","2008.0","-0.1","0.62","-1.13","-0.26","-0.55","-1.45","-0.07","0.22","-0.56","1.41","-0.08","-0.39","1.02"
"入職率（前年差）","TL調査産業計","５人以上","2009.0","0.06","-0.95","0.35","0.26","0.87","0.53","-0.21","0.44","0.19","-1.28","0.25","1.04","-0.68"
"入職率（前年差）","TL調査産業計","５人以上","2010.0","-0.12","-0.01","-0.06","0.41","0.33","-0.52","0.18","-0.98","-0.37","0.07","-0.04","-0.36","-0.16"
"入職率（前年差）","TL調査産業計","５人以上","2011.0","0.08","0.16","0.53","-0.68","0.24","-0.08","-0.18","0.12","0.71","0.03","0.21","0.05","-0.18"
"入職率（前年差）","TL調査産業計","５人以上","2012.0","0.15","0.22","-0.05","0.2","-0.27","0.63","0.73","0.09","-0.41","0.15","0.08","-0.08","0.57"
"入職率（前年差）","TL調査産業計","５人以上","2013.0","0.06","0.12","0.11","0.06","0.27","0.21","0.26","-0.02","0.51","-0.18","-0.04","-0.03","-0.54"
"入職率（前年差）","TL調査産業計","５人以上","2014.0","-0.09","-0.09","-0.27","0.06","-0.02","-0.01","-0.56","0.21","-0.15","-0.13","-0.27","0.09","0.01"
"入職率（前年差）","TL調査産業計","５人以上","2015.0","0.05","-0.09","-0.08","-0.35","-0.02","-0.29","0.12","-0.17","-0.16","0.7","0.32","0.25","0.45"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2005.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"入職率","C鉱業、採石業、砂利採取業","５人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
