"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"時系列名","産業分類","事業所規模","年","年平均","１月","２月","３月","４月","５月","６月","７月","８月","９月","１０月","１１月","１２月"
"入職率","TL調査産業計","３０人以上","2006.0","1.88","1.1","1.07","2.08","5.19","1.77","1.35","1.42","1.54","1.6","2.84","1.42","1.14"
"入職率","TL調査産業計","３０人以上","2007.0","1.73","0.96","1.8","1.41","4.87","2.43","1.44","1.69","1.24","1.3","1.45","1.18","0.95"
"入職率","TL調査産業計","３０人以上","2008.0","1.56","1.94","0.95","1.22","4.56","1.14","1.17","1.15","0.89","1.06","1.37","0.81","2.43"
"入職率","TL調査産業計","３０人以上","2009.0","1.81","0.71","0.98","1.45","5.34","1.76","1.18","1.94","1.16","1.54","1.73","2.64","1.25"
"入職率","TL調査産業計","３０人以上","2010.0","1.72","1.08","1.13","2.24","6.11","1.37","1.04","1.24","1.02","1.15","1.69","1.43","1.19"
"入職率","TL調査産業計","３０人以上","2011.0","1.58","0.61","1.46","1.35","5.76","1.04","1.17","1.12","1.39","1.13","1.39","1.52","1.03"
"入職率","TL調査産業計","３０人以上","2012.0","1.86","0.8","1.42","1.44","5.18","1.96","2.01","1.58","0.97","1.64","1.76","1.29","2.3"
"入職率（前年差）","TL調査産業計","３０人以上","2007.0","-0.15","-0.14","0.73","-0.67","-0.32","0.66","0.09","0.27","-0.3","-0.3","-1.39","-0.24","-0.19"
"入職率（前年差）","TL調査産業計","３０人以上","2008.0","-0.17","0.98","-0.85","-0.19","-0.31","-1.29","-0.27","-0.54","-0.35","-0.24","-0.08","-0.37","1.48"
"入職率（前年差）","TL調査産業計","３０人以上","2009.0","0.25","-1.23","0.03","0.23","0.78","0.62","0.01","0.79","0.27","0.48","0.36","1.83","-1.18"
"入職率（前年差）","TL調査産業計","３０人以上","2010.0","-0.09","0.37","0.15","0.79","0.77","-0.39","-0.14","-0.7","-0.14","-0.39","-0.04","-1.21","-0.06"
"入職率（前年差）","TL調査産業計","３０人以上","2011.0","-0.14","-0.47","0.33","-0.89","-0.35","-0.33","0.13","-0.12","0.37","-0.02","-0.3","0.09","-0.16"
"入職率（前年差）","TL調査産業計","３０人以上","2012.0","0.28","0.19","-0.04","0.09","-0.58","0.92","0.84","0.46","-0.42","0.51","0.37","-0.23","1.27"
